time,type,amount
2017/1/3 20:05,SE,420.42
2017/1/3 20:10,RE,204
2017/1/3 20:10,SE,639.86
2017/1/3 20:15,SE,475.29
2017/1/3 20:20,RE,71
2017/1/3 20:20,SE,1168.57
2017/1/3 20:25,SE,597.74
2017/1/3 20:30,RE,14.44
2017/1/3 20:30,SE,211.43
2017/1/3 20:35,SE,828.23
2017/1/3 20:40,RE,0.1
2017/1/3 20:40,SE,1947.76
2017/1/3 20:45,RE,0.2
2017/1/3 20:45,SE,673.54
2017/1/3 20:50,RE,8
2017/1/3 20:50,SE,294.06
2017/1/3 20:55,RE,9.6
2017/1/3 20:55,SE,627.19
